X86|01d8|add eax, ebx|Transportable
X86|29d8|sub eax, ebx|Transportable
X86|0fafc3|imul eax, ebx|Avalanche -> EAX
X86|31d8|xor eax, ebx|Transportable
X86|89d8|mov eax, ebx|Mapped
X86|8d44cb05|lea eax, [ebx + ecx*8 + 5]|Unknown
X86|21d8|and eax, ebx|Monotonic
X86|09d8|or eax, ebx|Monotonic
X86|c1e002|shl eax, 2|Mapped
X86|c1e802|shr eax, 2|Mapped
X86|c1f802|sar eax, 2|Mapped
X86|c1c802|ror eax, 2|Mapped
X86|c1c002|rol eax, 2|Mapped
X86|f7d0|not eax|Mapped
X86|f7d8|neg eax|Transportable
X86|40|inc eax|Transportable
X86|48|dec eax|Transportable
X86|50|push eax|Transportable
X86|58|pop eax|Transportable
X86|39d8|cmp eax, ebx|Mapped
X86|85d8|test eax, ebx|Mapped
X86|90|nop|No Data Outputs
X86|8918|mov [eax], ebx|Mapped
X86|8b03|mov eax, [ebx]|Mapped
X86|99|cdq|Mapped
X86|98|cwde|Mapped
X86|0fb6c3|movzx eax, bl|Mapped
X86|0fbec3|movsx eax, bl|Mapped
X86|93|xchg eax, ebx|Mapped
X86|0f44c3|cmovz eax, ebx|Translatable
X86|0f45c3|cmovnz eax, ebx|Translatable
X86|0f94c0|setz al|Mapped
X86|0fa3d8|bt eax, ebx|Mapped
X86|0fc8|bswap eax|Mapped
X86|fd|std|No Data Outputs
X86|fc|cld|No Data Outputs
X86|c3|ret|Error
AMD64|4801d8|add rax, rbx|Transportable
AMD64|4829d8|sub rax, rbx|Transportable
AMD64|480fafc3|imul rax, rbx|Avalanche -> RAX
AMD64|4831d8|xor rax, rbx|Transportable
AMD64|4889d8|mov rax, rbx|Mapped
AMD64|488d44cb05|lea rax, [rbx + rcx*8 + 5]|Unknown
AMD64|4821d8|and rax, rbx|Monotonic
AMD64|4809d8|or rax, rbx|Monotonic
AMD64|48c1e002|shl rax, 2|Mapped
AMD64|48c1e802|shr rax, 2|Mapped
AMD64|48c1f802|sar rax, 2|Mapped
AMD64|48c1c802|ror rax, 2|Mapped
AMD64|48c1c002|rol rax, 2|Mapped
AMD64|48f7d0|not rax|Mapped
AMD64|48f7d8|neg rax|Transportable
AMD64|48ffc0|inc rax|Transportable
AMD64|48ffc8|dec rax|Transportable
AMD64|50|push rax|Error
AMD64|58|pop rax|Avalanche -> RAX
AMD64|4839d8|cmp rax, rbx|Mapped
AMD64|4885d8|test rax, rbx|Mapped
AMD64|90|nop|No Data Outputs
